num_prefill_tokens,num_decode_tokens,num_total_tokens,pd_ratio
1724,862,2586,2.0
1729,924,2653,1.871212121212121
1674,845,2519,1.9810650887573964
1797,911,2708,1.9725576289791438
1793,974,2767,1.8408624229979467
1672,815,2487,2.0515337423312885
1766,662,2428,2.6676737160120845
1831,759,2590,2.412384716732543
1816,902,2718,2.0133037694013303
1905,529,2434,3.601134215500945
1743,975,2718,1.7876923076923077
1925,869,2794,2.2151898734177213
1827,822,2649,2.2226277372262775
1932,761,2693,2.538764783180026
1838,723,2561,2.5421853388658366
1936,791,2727,2.447534766118837
1833,702,2535,2.611111111111111
1747,855,2602,2.0432748538011696
1682,714,2396,2.3557422969187676
1636,542,2178,3.018450184501845
1967,685,2652,2.8715328467153283
1747,692,2439,2.5245664739884393
1877,942,2819,1.9925690021231421
1833,521,2354,3.5182341650671787
1954,800,2754,2.4425
1743,804,2547,2.167910447761194
1653,635,2288,2.6031496062992128
1773,756,2529,2.3452380952380953
1797,524,2321,3.4293893129770994
1822,681,2503,2.6754772393538913
1954,549,2503,3.5591985428051003
1837,762,2599,2.410761154855643
1887,784,2671,2.4068877551020407
1940,618,2558,3.1391585760517797
1780,507,2287,3.510848126232742
1710,592,2302,2.8885135135135136
1915,711,2626,2.6933895921237694
1836,760,2596,2.4157894736842107
1637,836,2473,1.958133971291866
1720,859,2579,2.0023282887077998
1981,976,2957,2.0297131147540983
1939,738,2677,2.627371273712737
1612,972,2584,1.6584362139917694
1776,822,2598,2.1605839416058394
1982,920,2902,2.1543478260869566
1688,775,2463,2.1780645161290324
1950,957,2907,2.0376175548589344
1881,716,2597,2.627094972067039
1884,612,2496,3.0784313725490198
1748,996,2744,1.7550200803212852
1606,888,2494,1.8085585585585586
1900,603,2503,3.1509121061359866
1897,679,2576,2.7938144329896906
1613,552,2165,2.9221014492753623
1938,545,2483,3.5559633027522937
1960,881,2841,2.224744608399546
1925,635,2560,3.031496062992126
1998,616,2614,3.2435064935064934
1964,516,2480,3.806201550387597
1902,748,2650,2.5427807486631018
1869,713,2582,2.621318373071529
1987,555,2542,3.58018018018018
1972,593,2565,3.3254637436762224
1881,611,2492,3.078559738134206
1869,529,2398,3.5330812854442346
1712,722,2434,2.371191135734072
1713,608,2321,2.817434210526316
1969,951,2920,2.070452155625657
1624,984,2608,1.6504065040650406
1775,619,2394,2.867528271405493
1929,768,2697,2.51171875
1703,518,2221,3.287644787644788
1989,732,2721,2.7172131147540983
1682,568,2250,2.961267605633803
1973,704,2677,2.8025568181818183
1627,776,2403,2.0966494845360826
1952,514,2466,3.7976653696498053
1708,757,2465,2.2562747688243063
1632,949,2581,1.719704952581665
1818,991,2809,1.834510595358224
1978,925,2903,2.1383783783783783
1933,810,2743,2.38641975308642
1737,630,2367,2.757142857142857
1713,946,2659,1.8107822410147991
1642,853,2495,1.9249706916764362
1775,962,2737,1.845114345114345
1892,976,2868,1.9385245901639345
1670,598,2268,2.7926421404682276
1963,680,2643,2.886764705882353
1811,644,2455,2.812111801242236
1665,577,2242,2.8856152512998268
1736,538,2274,3.2267657992565058
1873,769,2642,2.435630689206762
1849,548,2397,3.374087591240876
1953,748,2701,2.6109625668449197
1756,541,2297,3.2458410351201477
1834,869,2703,2.1104718066743384
1999,708,2707,2.823446327683616
1624,656,2280,2.475609756097561
1614,646,2260,2.498452012383901
1862,556,2418,3.3489208633093526
1616,852,2468,1.8967136150234742
1933,795,2728,2.4314465408805033
1793,967,2760,1.8541882109617374
1657,972,2629,1.704732510288066
1741,863,2604,2.0173812282734644
1923,996,2919,1.930722891566265
1959,636,2595,3.080188679245283
1814,514,2328,3.529182879377432
1997,987,2984,2.0233029381965553
1997,950,2947,2.102105263157895
1796,710,2506,2.5295774647887326
1938,892,2830,2.172645739910314
1664,625,2289,2.6624
1649,736,2385,2.2404891304347827
1754,873,2627,2.009163802978236
1698,725,2423,2.3420689655172415
1763,722,2485,2.4418282548476453
1808,664,2472,2.7228915662650603
1959,680,2639,2.8808823529411764
1928,809,2737,2.3831891223733
1877,908,2785,2.067180616740088
1774,878,2652,2.020501138952164
1647,695,2342,2.3697841726618707
1732,626,2358,2.7667731629392973
1902,757,2659,2.512549537648613
1730,629,2359,2.750397456279809
1806,937,2743,1.9274279615795091
1995,661,2656,3.018154311649017
1932,545,2477,3.544954128440367
1815,888,2703,2.043918918918919
1919,981,2900,1.9561671763506625
1657,717,2374,2.311018131101813
1959,513,2472,3.818713450292398
1711,905,2616,1.89060773480663
1885,678,2563,2.78023598820059
1901,907,2808,2.095920617420066
1933,985,2918,1.9624365482233503
1689,975,2664,1.7323076923076923
1785,503,2288,3.548707753479125
1806,747,2553,2.4176706827309236
1729,712,2441,2.428370786516854
1750,632,2382,2.768987341772152
1749,746,2495,2.344504021447721
1997,981,2978,2.035677879714577
1844,704,2548,2.6193181818181817
1820,902,2722,2.0177383592017737
1713,783,2496,2.1877394636015324
1886,815,2701,2.3141104294478527
1881,847,2728,2.220779220779221
1652,567,2219,2.9135802469135803
1997,893,2890,2.2362821948488243
1650,711,2361,2.320675105485232
1619,889,2508,1.8211473565804275
1682,892,2574,1.8856502242152466
1866,597,2463,3.1256281407035176
1909,616,2525,3.0990259740259742
1676,598,2274,2.802675585284281
1915,764,2679,2.506544502617801
1688,944,2632,1.7881355932203389
1813,510,2323,3.5549019607843135
1810,830,2640,2.180722891566265
1887,695,2582,2.7151079136690646
1986,995,2981,1.9959798994974873
1662,695,2357,2.39136690647482
1688,743,2431,2.271870794078062
1810,881,2691,2.054483541430193
1889,1000,2889,1.889
1628,909,2537,1.790979097909791
1852,705,2557,2.626950354609929
1824,967,2791,1.8862461220268874
1788,900,2688,1.9866666666666666
1776,710,2486,2.5014084507042256
1641,844,2485,1.9443127962085307
1869,688,2557,2.7165697674418605
1966,981,2947,2.0040774719673804
1809,748,2557,2.4184491978609626
1697,726,2423,2.337465564738292
1950,800,2750,2.4375
1746,504,2250,3.4642857142857144
1722,928,2650,1.855603448275862
1647,501,2148,3.287425149700599
1914,540,2454,3.5444444444444443
1792,587,2379,3.052810902896082
1957,987,2944,1.9827760891590678
1624,708,2332,2.2937853107344632
1960,607,2567,3.228995057660626
1985,898,2883,2.210467706013363
1871,717,2588,2.609483960948396
1953,668,2621,2.9236526946107784
1697,714,2411,2.376750700280112
1681,583,2264,2.8833619210977703
1936,662,2598,2.9244712990936557
1860,686,2546,2.7113702623906706
1845,877,2722,2.1037628278221208
1851,659,2510,2.8088012139605465
1725,504,2229,3.4226190476190474
1942,526,2468,3.692015209125475
1671,782,2453,2.136828644501279
1900,672,2572,2.8273809523809526
1640,500,2140,3.28
1685,812,2497,2.0751231527093594
1813,601,2414,3.016638935108153
1923,568,2491,3.38556338028169
1811,603,2414,3.0033167495854065
1637,519,2156,3.1541425818882467
1793,872,2665,2.0561926605504586
1882,622,2504,3.0257234726688105
1843,948,2791,1.9440928270042195
1719,732,2451,2.348360655737705
1811,850,2661,2.1305882352941174
1957,663,2620,2.9517345399698343
1752,566,2318,3.095406360424028
1773,507,2280,3.497041420118343
1985,886,2871,2.240406320541761
1933,762,2695,2.536745406824147
1920,805,2725,2.3850931677018634
1887,680,2567,2.775
1886,951,2837,1.9831756046267088
1635,899,2534,1.8186874304783092
1973,859,2832,2.29685681024447
1783,854,2637,2.0878220140515222
1857,841,2698,2.2080856123662307
1996,753,2749,2.650730411686587
1614,695,2309,2.322302158273381
1994,553,2547,3.605786618444846
1726,823,2549,2.097205346294046
1763,646,2409,2.7291021671826625
1767,853,2620,2.0715123094958967
1866,944,2810,1.9766949152542372
1661,713,2374,2.329593267882188
1872,962,2834,1.945945945945946
1990,697,2687,2.855093256814921
1765,502,2267,3.5159362549800797
1771,722,2493,2.4529085872576175
1954,787,2741,2.48284625158831
1988,545,2533,3.6477064220183486
1935,817,2752,2.3684210526315788
1850,985,2835,1.8781725888324874
1881,642,2523,2.9299065420560746
1911,775,2686,2.4658064516129032
1621,705,2326,2.299290780141844
1915,641,2556,2.987519500780031
1633,515,2148,3.170873786407767
1650,677,2327,2.4372230428360413
1777,628,2405,2.8296178343949046
1618,517,2135,3.129593810444874
1623,803,2426,2.021170610211706
1821,616,2437,2.956168831168831
1702,501,2203,3.3972055888223553
1726,657,2383,2.6270928462709286
1616,641,2257,2.5210608424336973
1962,891,2853,2.202020202020202
1973,750,2723,2.6306666666666665
1630,715,2345,2.2797202797202796
1648,810,2458,2.034567901234568
1673,996,2669,1.679718875502008
1717,999,2716,1.7187187187187187
1908,672,2580,2.8392857142857144
1949,812,2761,2.4002463054187193
1623,717,2340,2.2635983263598325
1671,619,2290,2.6995153473344105
1735,994,2729,1.7454728370221329
1725,892,2617,1.9338565022421526
1781,623,2404,2.8587479935794544
1613,707,2320,2.2814710042432815
1667,879,2546,1.8964732650739478
1898,992,2890,1.9133064516129032
1826,795,2621,2.2968553459119496
1636,507,2143,3.2268244575936884
1915,769,2684,2.490247074122237
1772,547,2319,3.2394881170018284
1841,645,2486,2.854263565891473
1905,557,2462,3.4201077199281866
1900,531,2431,3.5781544256120528
1836,749,2585,2.451268357810414
1831,623,2454,2.9390048154093096
1609,685,2294,2.348905109489051
1661,518,2179,3.2065637065637067
1950,654,2604,2.981651376146789
1807,672,2479,2.6889880952380953
1721,713,2434,2.4137447405329593
1846,931,2777,1.9828141783029
1948,734,2682,2.653950953678474
1719,679,2398,2.531664212076583
1988,562,2550,3.5373665480427046
1853,840,2693,2.205952380952381
1968,938,2906,2.098081023454158
1931,512,2443,3.771484375
1966,904,2870,2.174778761061947
1756,870,2626,2.018390804597701
1903,794,2697,2.3967254408060454
1834,627,2461,2.9250398724082936
1872,972,2844,1.9259259259259258
1932,961,2893,2.010405827263267
1627,553,2180,2.942133815551537
1883,854,2737,2.2049180327868854
1813,691,2504,2.6237337192474675
1896,939,2835,2.0191693290734825
1877,820,2697,2.2890243902439025
1749,653,2402,2.678407350689127
1760,621,2381,2.8341384863123995
1961,880,2841,2.228409090909091
1894,872,2766,2.1720183486238533
1884,937,2821,2.0106723585912487
1604,825,2429,1.9442424242424243
1861,525,2386,3.544761904761905
1660,573,2233,2.8970331588132634
1845,821,2666,2.2472594397076735
1781,967,2748,1.8417786970010341
1610,963,2573,1.6718587746625129
1880,970,2850,1.9381443298969072
1929,720,2649,2.6791666666666667
1764,737,2501,2.3934871099050206
1849,661,2510,2.7972768532526473
1853,716,2569,2.5879888268156424
1673,715,2388,2.3398601398601397
1810,889,2699,2.0359955005624295
1989,583,2572,3.411663807890223
1618,523,2141,3.0936902485659656
1817,643,2460,2.8258164852255057
1788,591,2379,3.0253807106598987
1695,682,2377,2.4853372434017595
1950,642,2592,3.0373831775700935
1804,562,2366,3.209964412811388
1638,879,2517,1.863481228668942
1627,858,2485,1.8962703962703962
1917,929,2846,2.063509149623251
1736,984,2720,1.7642276422764227
1666,857,2523,1.9439906651108518
1964,819,2783,2.398046398046398
1983,998,2981,1.9869739478957915
1817,755,2572,2.4066225165562916
1842,757,2599,2.4332892998678997
1722,703,2425,2.44950213371266
1754,502,2256,3.49402390438247
1788,970,2758,1.8432989690721648
1775,892,2667,1.9899103139013452
1612,961,2573,1.6774193548387097
1756,850,2606,2.0658823529411765
1625,662,2287,2.4546827794561934
1838,503,2341,3.6540755467196817
1838,683,2521,2.6910688140556367
1969,677,2646,2.9084194977843425
1941,710,2651,2.7338028169014086
1615,745,2360,2.1677852348993287
1772,751,2523,2.359520639147803
1742,766,2508,2.2741514360313317
1764,723,2487,2.4398340248962658
1793,684,2477,2.621345029239766
1797,709,2506,2.534555712270804
1894,643,2537,2.9455676516329703
1699,540,2239,3.1462962962962964
1741,568,2309,3.0651408450704225
1615,705,2320,2.2907801418439715
1685,933,2618,1.8060021436227225
1868,667,2535,2.800599700149925
1821,620,2441,2.9370967741935483
1617,867,2484,1.8650519031141868
1774,853,2627,2.0797186400937866
1861,683,2544,2.724743777452416
1954,873,2827,2.238258877434135
1988,927,2915,2.144552319309601
1662,910,2572,1.8263736263736263
1631,641,2272,2.5444617784711387
1685,917,2602,1.8375136314067613
1656,648,2304,2.5555555555555554
1936,968,2904,2.0
1923,879,2802,2.1877133105802047
1708,688,2396,2.4825581395348837
1889,621,2510,3.0418679549114334
1679,817,2496,2.055079559363525
1701,599,2300,2.8397328881469117
1943,953,2896,2.0388247639034627
1665,537,2202,3.100558659217877
1770,803,2573,2.204234122042341
1890,710,2600,2.6619718309859155
1950,748,2698,2.606951871657754
1600,701,2301,2.282453637660485
1900,898,2798,2.115812917594655
1776,900,2676,1.9733333333333334
1863,951,2814,1.9589905362776026
1807,696,2503,2.596264367816092
1939,527,2466,3.6793168880455407
1810,511,2321,3.5420743639921723
1969,662,2631,2.974320241691843
1657,693,2350,2.391053391053391
1753,816,2569,2.1482843137254903
1612,626,2238,2.5750798722044728
1917,513,2430,3.736842105263158
1686,955,2641,1.7654450261780106
1670,966,2636,1.7287784679089027
1811,666,2477,2.719219219219219
1940,925,2865,2.097297297297297
1748,566,2314,3.088339222614841
1723,775,2498,2.223225806451613
1759,831,2590,2.1167268351383877
1716,591,2307,2.9035532994923856
1861,941,2802,1.977683315621679
1884,918,2802,2.052287581699346
1766,692,2458,2.552023121387283
1797,566,2363,3.174911660777385
1876,582,2458,3.223367697594502
1784,621,2405,2.8727858293075683
1993,782,2775,2.5485933503836318
1886,789,2675,2.390367553865653
1701,530,2231,3.209433962264151
1801,718,2519,2.5083565459610027
1722,901,2623,1.9112097669256383
1960,530,2490,3.69811320754717
1696,615,2311,2.7577235772357724
1651,734,2385,2.249318801089918
1905,546,2451,3.489010989010989
1684,836,2520,2.014354066985646
1701,684,2385,2.486842105263158
1919,713,2632,2.691444600280505
1970,501,2471,3.932135728542914
1638,518,2156,3.1621621621621623
1615,521,2136,3.0998080614203456
1917,675,2592,2.84
1980,881,2861,2.2474460839954595
1748,856,2604,2.042056074766355
1716,504,2220,3.4047619047619047
1771,665,2436,2.663157894736842
1808,721,2529,2.5076282940360612
1679,844,2523,1.9893364928909953
1954,939,2893,2.080937167199148
1777,601,2378,2.956738768718802
1625,888,2513,1.829954954954955
1677,526,2203,3.188212927756654
1996,904,2900,2.2079646017699117
1939,665,2604,2.9157894736842107
1693,891,2584,1.9001122334455667
1799,740,2539,2.4310810810810812
1720,849,2569,2.025912838633687
1681,627,2308,2.6810207336523124
1839,793,2632,2.3190416141235812
1965,795,2760,2.4716981132075473
1649,921,2570,1.790445168295331
1694,669,2363,2.532137518684604
1824,778,2602,2.3444730077120823
1638,993,2631,1.649546827794562
1626,793,2419,2.050441361916772
1948,760,2708,2.5631578947368423
1909,674,2583,2.8323442136498516
1979,835,2814,2.3700598802395207
1777,643,2420,2.7636080870917574
1706,816,2522,2.090686274509804
1942,859,2801,2.260768335273574
1917,901,2818,2.1276359600443953
1737,579,2316,3.0
1813,654,2467,2.77217125382263
1988,831,2819,2.392298435619735
1644,611,2255,2.690671031096563
1892,537,2429,3.5232774674115457
1673,598,2271,2.797658862876254
1732,744,2476,2.327956989247312
1630,861,2491,1.8931475029036005
1716,804,2520,2.1343283582089554
1846,564,2410,3.273049645390071
1799,666,2465,2.701201201201201
1924,1000,2924,1.924
1743,961,2704,1.813735691987513
1989,860,2849,2.312790697674419
1797,860,2657,2.08953488372093
1950,782,2732,2.493606138107417
1974,599,2573,3.295492487479132
1928,841,2769,2.2925089179548155
1880,723,2603,2.600276625172891
1650,923,2573,1.7876489707475622
1778,686,2464,2.5918367346938775
1677,718,2395,2.3356545961002784
1736,912,2648,1.9035087719298245
1744,946,2690,1.8435517970401691
1846,652,2498,2.831288343558282
1971,875,2846,2.2525714285714287
1788,633,2421,2.824644549763033
1960,635,2595,3.0866141732283463
1904,855,2759,2.2269005847953216
1653,710,2363,2.328169014084507
1972,891,2863,2.21324354657688
1608,819,2427,1.9633699633699633
1693,983,2676,1.7222787385554426
1710,951,2661,1.7981072555205047
1756,989,2745,1.775530839231547
1912,814,2726,2.348894348894349
1893,840,2733,2.2535714285714286
1746,697,2443,2.505021520803443
1623,876,2499,1.8527397260273972
1803,665,2468,2.7112781954887217
